Table,en-UK,ru-RU,zh-CN
Popup_PermissionsFailed_Title,Permissions Failed,Ошибка в правах доступа,权限失败
Popup_PermissionsFailed_Description,"Sorry you don’t seem to have the correct permission for this action, please visit your account settings or contact your company admin.","К сожалению у вас нет разрешения на это действие. Пожалуйста, посетите настройки учетной записи или обратитесь к администратору компании.",抱歉，您似乎没有此操作的恰当权限，请访问您的账户设置或联系您的公司管理员。
Popup_PermissionsFailed_Ok,Account,Аккаунт,账户
Popup_PermissionsFailed_Cancel,Cancel,Отмена,取消
,,,
Popup_MsbuildWarning_Title,MSBuild version,MSBuild версия,MSBuild 版本
Popup_MsbuildWarning_Description,MSBuild 15 or higher is required. Please make sure you have a proper path to MSBuild binary configured in Luna UI.,"Требуется MSBuild версии 15 или выше. Пожалуйста, убедитесь, что у вас указан правильный путь к MSBuild.exe в окне Luna Playable.",需要 MSBuild 15 或更高版本。请确保您在 Luna UI 中配置了正确的 MSBuild 二进制文件路径。
Popup_MsbuildWarning_Ok,Open,Открыть,打开
Popup_MsbuildWarning_Cancel,Cancel,Отмена,取消
,,,
Popup_MsbuildError_Title,MSBuild failed,Ошибка MSBuild,MSBuild 失败
Popup_MsbuildError_Description,MSBuild failed to be invoked. Please make sure you have a proper path to MSBuild binary configured in Luna UI.,"Не удалось вызвать MSBuild. Пожалуйста, убедитесь, что у вас указан правильный путь к MSBuild.exe в окне Luna Playable.",无法调用 MSBuild。请确保您有在 Luna UI 中配置的 MSBuild 二进制文件的恰当路径。
Popup_MsbuildError_Ok,Open,Открыть,打开
Popup_MsbuildError_Cancel,Cancel,Отмена,取消
,,,
Popup_LoginSSO_Title,Cannot sign in to Create Hub,Не получается войти в Create Hub,无法登录 Create Hub
Popup_LoginSSO_Description,Please log in with your Create Hub login and password.,"Пожалуйста, войдите используя ваш Create Hub логин и пароль.",请使用您的 Create Hub 账户和密码登录。
Popup_LoginSSO_DescriptionNetwork,Please ensure you have a network connection.,"Пожалуйста, убедитесь, что у вас есть подключение к сети.",请确保您有网络连接。
Popup_LoginSSO_Ok,Open,Открыть,打开
Popup_LoginSSO_Cancel,Cancel,Отмена,取消
,,,
Popup_PackageBundle_Title,Package bundling failed,Ошибка в сборке пакетов,包捆绑失败
Popup_PackageBundle_Description,"Package failed to bundle. Please check the luna.log file, or review the documentation.","Пакет не удалось собрать. Пожалуйста, проверьте luna.log файл или ознакомьтесь с документацией.",包捆绑失败。请检查 luna.log 文件，或查看文档。
Popup_PackageBundle_Ok,Show Log,Показать логи,显示日志
Popup_PackageBundle_Cancel,Cancel,Отмена,取消
Popup_PackageBundle_Alt,Documentation,Документация,文档
,,,
Popup_PackageUpload_Title,Upload failed,Загрузка не удалась,上传失败
Popup_PackageUpload_Description,"Please try building Create Hub build manually and upload it via Web UI. If the issue persists, please contact support.","Пожалуйста, пересоберите проект под платформу Create Hub и загрузите его с помощью веб-интерфейса. Если проблема не будет устранена, пожалуйста, обратитесь в службу поддержки.",请尝试手动构建 Create Hub，并通过 Web UI 上传。如果问题仍然存在，请联系支持人员。
Popup_PackageUpload_Ok,Open,Открыть,打开
Popup_PackageUpload_Cancel,Cancel,Отмена,取消
,,,
Popup_UnknownError_Title,Unknown error,Неизвестная ошибка,未知错误
Popup_UnknownError_Description,"Build process has exited with an Unknown Error. Please check Project Diagnostics, the luna.log file, or review the documentation.","Процесс сборки завершился с неизвестной ошибкой. Пожалуйста, проверьте вкладку Диагностики проекта, luna.log файл или ознакомьтесь с документацией.","构建过程已退出，出现未知错误。请检查项目诊断, luna.log 文件，或查看文档。"
Popup_UnknownError_Ok,Show Log,Показать логи,显示日志
Popup_UnknownError_Cancel,Cancel,Отмена,取消
Popup_UnknownError_Alt,Documentation,Документация,文档
,,,
Popup_DevelopBuildFinished_Title,Build Finished,Сборка завершена,构建完成
Popup_DevelopBuildFinished_Description,Would you like to open the playable in the browser?,Хотите открыть проект в браузере?,您想在浏览器中打开可试玩广告吗？
Popup_DevelopBuildFinished_Ok,Open in browser,Открыть в браузере,在浏览器中打开
Popup_DevelopBuildFinished_Cancel,Cancel,Отмена,取消
Popup_DevelopBuildFinished_Alt,Open build folder,Открыть папку с билдом,打开构建文件夹
,,,
Popup_AssetsProcess_Title,Assets processing failed,Ошибка пост-обработки ассетов,资源处理失败
Popup_AssetsProcess_Description,"Assets failed to be processed. Please check the luna.log file, or review the documentation.","Ассеты не удалось обработать. Пожалуйста, проверьте luna.log файл или ознакомьтесь с документацией.",资源处理失败请检查 luna.log 文件，或查看文档。
Popup_AssetsProcess_Ok,Show Log,Показать логи,显示日志
Popup_AssetsProcess_Cancel,Cancel,Отмена,取消
Popup_AssetsProcess_Alt,Documentation,Документация,文档
,,,
Popup_EngineCompilation_Title,Engine compilation failed,Компиляция движка не удалась,引擎编译失败
Popup_EngineCompilation_Description,Engine failed to compile. Please fix all errors and try to rebuild.,"Движок не удалось скомпилировать. Пожалуйста, исправьте все ошибки и попробуйте пересобрать билд.",引擎编译失败。请修复所有错误，然后尝试重建。
Popup_EngineCompilation_Ok,Show Report,Показать отчет,显示报告
Popup_EngineCompilation_Cancel,Cancel,Отмена,取消
Popup_EngineCompilation_Alt,Documentation,Документация,文档
,,,
Popup_ScenePath_Title,Package failed to bundle,Пакет не удалось собрать,包捆绑失败
Popup_ScenePath_Description,Startup scene is not set or is excluded from the build. Please check Startup scene option to fix this error.,"Стартовая сцена не установлена ​​или исключена из билда. Пожалуйста, проверьте стартовый вариант сцены, чтобы исправить эту ошибку.",启动场景未设置或被排除。请检查启动场景选项以修复此错误。
Popup_ScenePath_Ok,Open,Открыть,打开
Popup_ScenePath_Cancel,Cancel,Отмена,取消
,,,
Popup_UnityBinError_Title,Unity binary error,Ошибка исполняемого файла Unity,Unity 二进制错误
Popup_UnityBinError_Description,Failed to build luna with unity binaries. Try setting 'Use MSBuild' under 'Advanced settings' and specifying a path to MSBuild binary,Не удалось построить Luna Playable. Попробуйте установить «Use MSBuild» в разделе «Дополнительные настройки» и указать путь к  двоичному файлу MSBuild ,未能用 Unity 二进制文件构建 Luna。尝试在“Advanced Settings (高级设置) ”下设置“Use MSBuild (使用 MSBuild)”，并指定 MSBuild 二进制路径
Popup_UnityBinError_Ok,Open,Открыть,打开
Popup_UnityBinError_Cancel,Cancel,Отмена,取消
,,,
Popup_AssetsBundle_Title,Assets bundling failed,Сборка ассетов не удалась,资源捆绑失败
Popup_AssetsBundle_Description,"Assets failed to bundle. Please check the luna.log file, or review the documentation.","Ассеты не удалось собрать. Пожалуйста, проверьте luna.log файл или ознакомьтесь с документацией.",资源捆绑失败。请检查 luna.log 文件，或查看文档。
Popup_AssetsBundle_Ok,Show Log,Показать логи,显示日志
Popup_AssetsBundle_Cancel,Cancel,Отмена,取消
Popup_AssetsBundle_Alt,Documentation,Документация,文档
,,,
Popup_AssetsExport_Title,Assets exporting failed,Экспорт ассетов не удался,资源导出失败
Popup_AssetsExport_Description,Assets failed to be exported properly. Please check Expert console and fix errors.,"Ассеты не удалось экспортировать должным образом. Пожалуйста, проверьте Эксперт консоль и исправьте ошибки.",资源未能正确导出。请检查 Expert 控制台并修复错误。
Popup_AssetsExport_Ok,Open,Открыть,打开
Popup_AssetsExport_Cancel,Cancel,Отмена,取消
,,,
Popup_Authentication_Title,Authentication Failed,Ошибка аутентификации,身份验证失败
Popup_Authentication_Description,"We were unable to authenticate you, please sign in again","Мы не смогли проверить вашу аутентификацию, пожалуйста, войдите в систему снова",我们无法验证您的身份，请重新登录
Popup_Authentication_DescriptionNetwork,"We were unable to authenticate you, please ensure you have a network connection","Мы не смогли проверить вашу аутентификацию, пожалуйста, убедитесь, что у вас есть подключение к сети",我们无法验证您的身份，请确保您有网络连接
Popup_Authentication_Ok,Okay,Окей,好的
Popup_Authentication_Cancel,Close,Закрыть,关闭
,,,
Popup_Balance_Title,Plugin access denied,Доступ к плагину отклонен,插件禁止访问
Popup_Balance_Description,"Sorry, your current plan does not provide access to the Create Hub. Please reach out to support@lunalabs.io if you have any questions","Ваш текущий план не предоставляет доступа к Create Hub. Пожалуйста, если есть вопросы, свяжитесь с поддержкой support@lunalabs.io",抱歉，您现在的计划并未启用 Create Hub 插件。如有疑问请联系 support@lunalabs.io。
Popup_Balance_Ok,Okay,Окей,好的
Popup_Balance_Cancel,Close,Закрыть,关闭
,,,
Popup_CancelledExport_Title,Build Cancelled,Сборка отменена,取消构建
Popup_CancelledExport_Description,The build was stopped early,Сборка была остановлена ​до окончания,建造已提前停止
Popup_CancelledExport_Ok,Build Settings,Настройки сборки,构建设置
Popup_CancelledExport_Cancel,Cancel,Отмена,取消
,,,
Popup_ShouldCancelBuild_Title,Cancel Build,Отменить сборку,取消构建
Popup_ShouldCancelBuild_Description,Would you like to cancel the build?,Хотите отменить сборку?,您是否要取消构建？
Popup_ShouldCancelBuild_Ok,Yes,Да,是
Popup_ShouldCancelBuild_Cancel,No,Нет,否
,,,
Popup_CodeBundle_Title,Code compilation failed,Компиляция кода не удалась,代码编译失败
Popup_CodeBundle_Description,Code failed to compile. Please fix all errors in Solution and try to rebuild.,Код не удалось скомпилировать. Исправьте все ошибки в решении и попробуйте пересобрать билд.,代码编译失败。请修复解决方案中的所有错误，然后尝试重建。
Popup_CodeBundle_Ok,Open,Открыть,打开
Popup_CodeBundle_Cancel,Cancel,Отмена,取消
,,,
Popup_FileAlreadyExists_Title,Such file already exists!,Такой файл уже существует!,该文件已存在!
Popup_FileAlreadyExists_Description,File at: {0} already exists.Overwrite it?,Файл в {0} уже существует. Перезаписать его?,文件位置：{0} 已存在。是否覆盖？
Popup_FileAlreadyExists_Yes,Yes,Да,是
Popup_FileAlreadyExists_No,No,Нет,否
,,,
Popup_FileOutOfProject_Title,This file is outside of current project directory!,Этот файл находится вне проекта,此文件在当前项目目录外！
Popup_FileOutOfProject_Description,"Files from not project directory will not be included in the project build and won't be loaded. Please, move it to: {0} directory","Файл не из папки проекта не может быть и включен и загружен. Пожалуйста, переместите его в {0} папку",非项目目录中的文件将不会包含在项目构建中，也不会加载。请将其移至：{0} 目录
Popup_FileOutOfProject_Copy,Copy file to project,Скопировать файл в проект,将文件复制到项目
Popup_FileOutOfProject_Cancel,Cancel,Отмена,取消
,,,
Popup_Login_Title,Cannot sign in to Create Hub,Не удается войти в Create Hub,无法登录 Create Hub
Popup_Login_TitleLoginFailed,Sign in failed,Ошибка входа,登录失败
Popup_Login_Description,Please check Create Hub email and password.,"Пожалуйста, проверьте электронную почту и пароль для входа в Create Hub.",请查看 Create Hub 电子邮件和密码。
Popup_Login_DescriptionNetwork,Please ensure you have a network connection.,"Пожалуйста, убедитесь, что у вас есть подключение к сети.",请确保您有网络连接。
Popup_Login_DescriptionLoginWithGoogle,Your company has disabled sign in with email and password. Please sign in with your Google account.,"Для вашей компании отключена возможность войти с использованием электронной почты и пароля. Пожалуйста, войдите используя свой аккаунт Google.",您的公司已禁止使用电子邮件和密码登录。请使用您的 Google 账户登录。
Popup_Login_Ok,Okay,Окей,好的
Popup_Login_Cancel,Cancel,Отмена,取消
,,,
Popup_NotAcceptable_Title,"Sorry, you've reached plan limitations","К сожалению, вы достигли лимита своего плана",抱歉，您已达到了计划上限
Popup_NotAcceptable_Description,You've reached the maximum number of apps you can upload to Create Hub within your company’s plan. Please visit Luna Create Hub for more information.,"Вы достигли максимального количества приложений, которые вы можете загрузить на Create Hub в рамках вашей компании. Пожалуйста, посетите Luna Create Hub для получения дополнительной информации.",您已经达到公司计划中可以上传到 Create Hub 的应用程序的最大数量。请访问 Luna Create Hub 了解更多信息。
Popup_NotAcceptable_Ok,Open,Открыть,打开
Popup_NotAcceptable_Cancel,Cancel,Отмена,取消
,,,
Popup_PackageUploaded_Title,Package uploaded,Пакет загружен,上传的包
Popup_PackageUploaded_Description,Package has been uploaded to Luna Create Hub,Пакет был загружен на Luna Create Hub,包已上传到 Luna Create Hub
Popup_PackageUploaded_Ok,Go to Create Hub,Перейти в Create Hub,前往 Create Hub
Popup_PackageUploaded_Cancel,Close,Закрыть,关闭
,,,
Popup_UnityBinPath_Title,Unity binary not found,Ошибка исполняемого файла Unity,找不到 Unity 二进制文件
Popup_UnityBinPath_Description,Failed to find an expected unity binary. Try setting 'Use MSBuild' under 'Advanced settings' and specifying a path to MSBuild binary,Не удалось построить Luna Playable. Попробуйте установить «Use MSBuild» в разделе «Дополнительные настройки» и указать путь к  двоичному файлу MSBuild ,"未能找到预期的 Unity 二进制文件。尝试在 ""高级"" 下设置 ""使用 MSBuild""，并指定 MSBuild 二进制路径"
Popup_UnityBinPath_Ok,Open,Открыть,打开
Popup_UnityBinPath_Cancel,Cancel,Отмена,取消
,,,
Popup_OptimalSettings_Title,Set optimal settings,Применить оптимальные настройки,设置优化设定
Popup_OptimalSettings_Description,It changes default parameters to optimal and enables some options in 'Advanced settings'. For more detailed information please check documentation,"Установить настройкам по умолчанию оптимальные значения и включить некоторые настройки в «Дополнительных настройках». Для более детальной информации, пожалуйста, ознакомьтесь с документацией",它会将默认参数调整至最优设定并启用 '高级设置' 中的一些选项。详细信息请参考说明。
Popup_OptimalSettings_Ok,Okay,Окей,好的
Popup_OptimalSettings_Cancel,Cancel,Отмена,取消
Popup_OptimalSettings_Docs,Open documentation,Открыть документацию,打开文档
,,,
Popup_PathIncorrect_Title,Invalid symbols in path,Путь содержит невалидные символы,路径中包含无效的字符
Popup_PathIncorrect_Description,"{0}
Luna doesn't support work with files with some special symbols in the path:  {1}
Please change your path to not use special symbols. e.g.: {2}
And then reopen the project.","{0}
Luna не поддерживает работу с файлами с некоторыми специальными символами в пути: {1}
Пожалуйста, измените свой путь так, чтобы не использовать эти специальные символы. например: {2}
А затем снова откройте проект.","{0}
Luna 不支持在路径中使用特殊字符: {1}
请更改文件或文件夹名，以避免使用特殊字符，比如: {2}
然后重新打开项目。"
Popup_PathIncorrect_Ok,Okay,Окей,好的
Popup_PathIncorrect_Cancel,Cancel,Отмена,取消
,,,
Popup_AssetsExporting_Title,Asset export,Экспорт ассетов,资源导出
Popup_AssetsExporting_Description,Collecting assets...,Сбор ассетов...,正在收集资源...
,,,
Popup_EnableLunaCompilerV2_Title,Enable Luna Compiler v2?,Включить Luna Compiler v2?,Enable Luna Compiler v2?
Popup_EnableLunaCompilerV2_Description,Enabling Luna Compiler v2 could resolve code issues related to C# version. Enable Luna Compiler v2?,"Включение Luna Compiler v2 может исправить ошибки кода, связанные с версией C#. Включить Luna Compiler v2?",Enabling Luna Compiler v2 could resolve code issues related to C# version. Enable Luna Compiler v2?
Popup_EnableLunaCompilerV2_Ok,Okay,Окей,好的
Popup_EnableLunaCompilerV2_Cancel,Cancel,Отмена,取消
,,,
HelpBox_InstallLink_Message,You have incorrect {0} install link. Please change it,"У Вас указана неверная {0} ссылка на скачивание игры. Пожалуйста, исправьте ее",{0} 安装链接不正确。请进行更改
HelpBox_InstallLinks_Message,You have incorrect iOS and Android install links. Please change them,"У Вас указаны неверные IOS и Android ссылки на скачивание игры. Пожалуйста, исправьте их",iOS 和 Android 安装链接不正确。请进行更改
,,,
LunaToolbar_Building,Building...,Сборка...,构建中...
LunaToolbar_BuildForDevelop,Build luna for develop,Собрать Develop билд,构建 Luna Develop 版本
,,,
LunaProjectBrowser_ShowIncludesExcludes,Show Luna included and excluded files,Показать включенные и исключенные из сборки ассеты,显示 Luna 包含文件和排除文件
LunaProjectBrowser_HideIncludesExcludes,Hide Luna included and excluded files,Спрятать показ включенных и исключенных из сборки ассетов,隐藏 Luna 包含文件和排除文件
LunaProjectBrowser_ForceIncludedFile,Force included in Luna,Принудительно включить в сборку,强制在 Luna 中包含
LunaProjectBrowser_ForceExcludedFile,Force excluded from Luna,Принудительно исключить из сборки,强制从 Luna 中排除
LunaProjectBrowser_CSIncludedFile,By default all scripts are included in Luna,По умолчанию все скрипты включены в сборку,默认情况下，所有脚本均在 Luna 中包含
LunaProjectBrowser_CSExcludedFile,Force excluded from Luna,Принудительно исключено из сборки,强制从 Luna 中排除
LunaProjectBrowser_ResourcesIncludedFile,All resources files are included in Luna,Все файлы из папки Resources включены в сборку,所有资源文件均在 Luna 中包含
LunaProjectBrowser_ResourcesExcludedFile,By default resources files are excluded from Luna,По умолчанию все файлы из папки Resources исключены из сборки,默认情况下，会将资源文件从 Luna 中排除
LunaProjectBrowser_StreamingAssetsIncludedFile,All streaming assets are included in Luna,Все Streaming Assets включены в сборку,所有流媒体资源均在 Luna 中包含
LunaProjectBrowser_StreamingAssetsExcludedFile,By default streaming assets are excluded from Luna,По умолчанию Streaming Assets исключены из сборки,默认情况下，流媒体资源不在 Luna 中包含
